Review,Sentiment
"This is a very stylish and functional product--fits the DX perfectly, is easy to open and close, offers protection for your Kindle, & feels good in the hands (kind of mat, rubbery feeling of the neoprene).  I love the look of it but my only reservation so far is that the surface of neoprene tends to show fingerprints after just a little handling.  Maybe that depends on the color you choose--I got it in red.  Otherwise,  very happy with it.",Positve
This product works as advertised. The buttons are a little hard to push for aging fingers but otherwise we are very pleased with the product.,Positve
The case is nice but did not have a glow light. I'm disappointed that the product didn't meet the advertisement.,Negative
"This product worked for about three minutes.  Sometimes would not turn on, and even then, only played songs one time, then stopped playing.  Also, not compatible with Rhapsody service.  I do not recommend.",Negative
"No power on the AC adapter. Tried several outlets. I confirmed that the USB cable worked. Just the wall adapter didn't. I'm returning it. May have to shell out for the Apple brand one, much as it hurts.",Negative
"I use this when I travel and it has charged my iPhone 5s, Nexus 2012/2013, Samsung 5s and others.  Sometimes hard to plug in  depending on the hotel",Positve
Well i was disappointed that i waited almost a full month to find out that it was lost in the mail and it was the only item in stock so i never received it. But was fully refunded right away once discovered.,Negative
Give it one star only because I recieved it in a timely fashion but other than that I was very dissatisfied !!!!! Unit did not work and had to be returned.,Negative
"I bought this a couple of years ago, and started off with no problem other than that the screen auto dimmer thing wasn't very effective.  Then more recently, a problem came up.  I tried to take out a CD that I had put in, and the CD player mechanism had broken.  I literally had to pry the thing open to get a CD out, then, of course, it was broken.  Thankfully the speakers were good, so I now have them on a new stereo accompanying other ones...  don't waste your money",Negative
"So far so good, it doesnt go as loud as I thought it would go, people will not hear you comming a mile away but it does sound pretty good for the price.",Positve
The cable was not compatible between my macbook and iphone.  Also the connector came apart and the cables started fraying.,Negative
I got this and a green one for my daughter's Ipod 4 and she adore's in. And it was very cheap. so its a win win.,Positve
"Considering the price and quality of this speaker, I would rate this 4 star compared with other 6.5\\"" speaker in the market. If you hook it up with the new generation H/U, it produces a decent bass if you're not  into a enclosed loud/amplified 12\\"" subwoofer or if you're over 50.",Positve
Finally received the cover after about a monrh. It fit just fine and the color was great.  Now I feel more secure in carrying the e-Reade since it's protected.,Positve
"The dash cam works great, but unlike some of the other  Mini 0801 Dash DVRs it doesn't write a separate data file with GPS information. The GPS data is only displayed on the screen. Some other cameras write a separate data file which allows the use of a mapping program to display the route along with the video. There may be someplace hidden where the separate file can be toggled on, but I have not found it.<br />As far for the camera.... It has pretty good color and image quality for something at this price point. The new 0803 cameras do have better vision in darker lighting conditions, but the 0801 does pretty good.<br />A tip in setting up dash cams is to point the camera a little lower than what you would think. This will help the camera's auto exposure to not underexpose as much and you will get better definition in darker areas, but may slightly overexpose the sky.",Positve
"at 500watts i expected it to be average 50watts rms..it is metal ,so  looked nice..but sounds like crap... sorry but i prefer to buy, pieso tweeter  than these . it did not sound clean....i don't use them...i do use, motorola,   seleniun,and audio pipe tweeters",Negative
Fast shipping but this product is very cheaply made I brought this for my grandchild so her IPod would be protected if it fell but this skin is not suitable for protection. It is only good for decoration. Therefore I rated it1*,Negative
Like others before me I was fooled by the initial customer reviews of this product.  They were either outright lies or placed by the product seller to generate sales.  DO NOT BUY THIS PRODUCT.  The only way I can describe it is that it adds a mirror finish to your kindle.    This product is going straight into my garbage can.  Full stop,Negative
"Ready compatibility that lead me to believe it was compatible with my 3GS phones. The wires work with my old cube, but when plugged into these cubes, my phones (2) tell my not compatible for the device.",Negative
"This is a basic case that is a good fit for my Garmin Nuvi 1350 LMT.  Just enough padding to protect the screen.  A little gimmicky to have it listed at 1 cent with $3 shipping, but a fair price overall.",Positve
"Hey, what can you say? It does the job alright, but the quality is terrible.<br />I figure it's not going to take very long for this to either break or stop working.<br />The price is rather steep for such a poor quality item.<br />I wouldn't buy another one of these, I'll look for better quality, but I'm not saying don't buy it... it does do the job.",Positve
Actually I have not yet figured out how to assemble the several parts. It almost seems too complex! No directions or schematic provided.,Neutral
"The decal fits well, haven't had too much trouble with the edges curling. The screen protector comes with one of those handy smoothing cards. The case is a tight fit, so don't plan on fitting anything beside paper in the pockets. Also, sometimes the straps press on the volume button when adjusting the Nook. Besides that, it completes its purpose, which is making my Nook look nice while its protected.",Positve
"Great for in car use, plus it works as a stand alone MP3 player!  You will need a 'tf' also none as a 'micro sd card' reader/writer (cheap, around $8).  Write you mp3's to the 'tf' or 'micro' sd card, insert into the cassette unit and insert into your car's Cassette player or your homes stereo system (great for taking to parties).  I've been able to use a 8gb card loaded with music and podcast mp3's.  Charges up in about 6 hours and has a remote to use in your car to switch tracks.",Positve
"It Reads Codes and lets you erase them.  It's a very basic model but does the job.  I've used it on both my Honda and Subaru and it diagnosed the problem.  This model just gives you the code which you then have to look up in a booklet supplied, a minor inconvenience. Instructions are a bit vague about how to erase codes but i figured it out quickly.",Positve
"It seemed like a great deal! But reality set in quick. Not the most user friendly mp3 player, doesn't have the option to lock buttons and  the mode button broke after only 1 week!!  Never again!! I'll get another Coby and pay a little more but they last A LOT longer!!",Negative
"This lasted about 45 days. The MP3 player never worked well-erased songs from my player when I hooked it up. But I wasn't overly concerned because I bought to play CD's. But after about 40days it wouldn't recognize CDRs and a week or so later it stopped recognizing CDs of any kind. I contacted the seller about the dud and ofcourse got nowhere because it was past the 30 day warranty. I tried to contact the manufaturer, but it cost more to ship than the item was worth. Garbage garbage garbage!!!!!",Negative
